Lead_ID,Region,State,Course,Time_Slot,Pitch_Category,Pitch_Minutes,Followup_Gap,Script_Tone,Attempts,Lag,ELT,Outreach_Type,Engagement_Score,Lead_Score,High_Engagement,Conversion_Probability
L00667,West,Maharashtra,Cybersecurity,Morning,Long,10.2,3-5 Days,Formal,1,7.5,13.6,Direct,68,53,0,49.4
L00668,East,Bihar,Cybersecurity,Afternoon,Medium,6.2,1 Day,Casual,1,6.6,12.2,Campus Ambassador,64,64,0,54
L00669,West,Goa,Cloud,Afternoon,Short,2,Same Day,Formal,1,6.6,18.7,Direct,65,58,0,52.5
L00670,East,West Bengal,Cybersecurity,Morning,Medium,6.5,2 Days,Semi-Formal,1,7.6,19.6,Direct,60,59,0,43.2
L00671,West,Gujarat,Data Science,Afternoon,Medium,5.4,Same Day,Formal,1,1.1,9.8,Direct,66,54,0,33.3
L00672,North,Uttar Pradesh,Data Science,Morning,Medium,5.1,1 Day,Semi-Formal,1,3.2,10.1,Direct,58,52,0,50
L00673,North,Punjab,Cloud,Morning,Short,1.3,Same Day,Formal,1,5.1,16.8,Campus Ambassador,72,62,1,55.6
L00674,North,Haryana,Full Stack,Afternoon,Medium,6,2 Days,Formal,1,7.3,16.7,Direct,47,45,0,51.3
L00675,South,Telangana,AI & ML,Morning,Medium,5.4,1 Day,Casual,1,5.4,14,Direct,74,62,1,58.9
L00676,North,Punjab,AI & ML,Evening,Medium,6,1 Day,Formal,1,3.7,11.5,Direct,74,57,1,53.4
L00677,North,Delhi,AI & ML,Evening,Short,1.5,Same Day,Semi-Formal,1,2.5,14.2,Direct,100,77,1,72.5
L00678,West,Goa,Data Science,Evening,Short,2.5,Same Day,Casual,1,5.2,13.1,Campus Ambassador,71,67,1,58.2
L00679,South,Telangana,Full Stack,Morning,Long,10.4,1 Day,Semi-Formal,1,4.2,13.9,Direct,47,40,0,41.8
L00680,South,Karnataka,Data Science,Morning,Medium,6.1,1 Day,Formal,1,7.7,14.2,Direct,67,53,0,47.6
L00681,East,Bihar,Cybersecurity,Afternoon,Long,10.4,1 Day,Formal,1,6.4,13.5,Direct,55,54,0,44.1
L00682,North,Delhi,Cybersecurity,Afternoon,Medium,5.1,2 Days,Formal,1,6.2,12.9,Campus Ambassador,53,49,0,54.6
L00683,West,Maharashtra,AI & ML,Afternoon,Medium,5.9,1 Day,Formal,3,5.4,12.5,Direct,88,69,1,59.1
L00684,South,Karnataka,AI & ML,Evening,Medium,6.3,Same Day,Semi-Formal,1,3.7,12.8,Direct,70,69,1,62.2
L00685,East,Jharkhand,Full Stack,Evening,Medium,5.7,Same Day,Formal,1,4.9,15.6,Direct,52,44,0,20.6
L00686,West,Goa,Cybersecurity,Evening,Long,9.1,Same Day,Formal,1,3,14.4,Direct,42,42,0,38.9
L00687,North,Haryana,AI & ML,Evening,Short,1.5,2 Days,Formal,1,6.8,8.2,Direct,67,66,0,59.3
L00688,South,Kerala,Cybersecurity,Afternoon,Short,2.5,Same Day,Casual,1,6,9.1,Direct,84,64,1,45.5
L00689,East,West Bengal,Cloud,Evening,Medium,6.9,2 Days,Formal,1,3.2,11.7,Campus Ambassador,47,38,0,42.3
L00690,South,Andhra Pradesh,Full Stack,Evening,Medium,6.6,Same Day,Semi-Formal,1,4.9,11.7,Direct,65,58,0,53.2
L00691,North,Haryana,AI & ML,Evening,Medium,5.4,2 Days,Semi-Formal,1,3.3,12.8,Campus Ambassador,67,64,0,59.1
L00692,South,Kerala,AI & ML,Afternoon,Short,1.2,Same Day,Semi-Formal,1,5.5,14.1,Campus Ambassador,79,64,1,72.3
L00693,South,Telangana,Cybersecurity,Evening,Long,9.7,3-5 Days,Casual,1,1.2,10.6,Direct,73,56,1,50.1
L00694,South,Kerala,Cloud,Afternoon,Medium,5.1,Same Day,Formal,1,5.9,11.2,Direct,72,57,1,54.7
L00695,South,Karnataka,Cloud,Evening,Medium,5.4,2 Days,Semi-Formal,1,2.4,12.7,Campus Ambassador,48,41,0,40.1
L00696,South,Tamil Nadu,AI & ML,Morning,Medium,6.4,1 Day,Casual,1,9,17.5,Direct,62,60,0,59.7
L00697,South,Tamil Nadu,Cloud,Afternoon,Medium,5.2,3-5 Days,Casual,1,5.8,13.3,Direct,72,69,1,41.4
L00698,North,Delhi,Cybersecurity,Morning,Short,1.5,1 Day,Casual,1,7.6,11.7,Direct,89,76,1,74.7
L00699,North,Punjab,Full Stack,Morning,Medium,5.9,Same Day,Casual,1,7.4,12.6,Campus Ambassador,82,74,1,57.6
L00700,West,Maharashtra,Cybersecurity,Afternoon,Medium,5.4,Same Day,Semi-Formal,1,4,12.7,Direct,62,57,0,41.3
L00701,North,Haryana,Cybersecurity,Evening,Short,2.3,2 Days,Semi-Formal,1,4.2,14.5,Direct,95,79,1,68.4
L00702,West,Maharashtra,Data Science,Evening,Long,10.6,Same Day,Semi-Formal,1,7,13,Direct,53,47,0,54.2
L00703,North,Rajasthan,AI & ML,Evening,Short,3,3-5 Days,Formal,1,4.9,12.2,Direct,63,63,0,64
L00704,South,Andhra Pradesh,AI & ML,Morning,Medium,5.8,1 Day,Formal,1,9.5,10.9,Campus Ambassador,47,43,0,33.8
L00705,North,Delhi,Cloud,Morning,Short,2.3,2 Days,Semi-Formal,2,3.8,14.1,Campus Ambassador,69,61,0,54.4
L00706,North,Uttar Pradesh,Cybersecurity,Evening,Medium,5.1,1 Day,Semi-Formal,1,3.7,7.3,Direct,59,55,0,56.4
L00707,South,Telangana,Cloud,Morning,Short,1.3,Same Day,Semi-Formal,1,1,17.1,Campus Ambassador,83,71,1,46
L00708,West,Gujarat,Cybersecurity,Afternoon,Long,10.2,Same Day,Formal,1,3.5,9.6,Campus Ambassador,66,64,0,60.8
L00709,North,Punjab,Full Stack,Evening,Short,1.6,2 Days,Casual,3,5.9,8,Direct,45,45,0,48.5
L00710,West,Maharashtra,Cybersecurity,Morning,Medium,6.1,2 Days,Semi-Formal,1,9.8,13.8,Direct,63,52,0,59.5
L00711,North,Uttar Pradesh,Cybersecurity,Afternoon,Medium,7,Same Day,Formal,1,3,8.2,Campus Ambassador,61,52,0,51.7
L00712,North,Haryana,Cybersecurity,Evening,Long,10.6,2 Days,Formal,1,10.5,13.3,Direct,50,54,0,52.6
L00713,East,Bihar,Data Science,Morning,Medium,6.8,2 Days,Casual,1,5.2,8.4,Direct,48,48,0,41.9
L00714,West,Gujarat,AI & ML,Morning,Medium,5.6,3-5 Days,Semi-Formal,1,4.9,11.6,Direct,45,43,0,41.5
L00715,East,Odisha,AI & ML,Evening,Medium,6.2,Same Day,Semi-Formal,1,10.7,11.8,Campus Ambassador,51,54,0,50.8
L00716,West,Gujarat,Data Science,Afternoon,Short,2.2,1 Day,Formal,1,8.8,10.8,Direct,89,81,1,62.9
L00717,North,Delhi,Cybersecurity,Afternoon,Long,9.8,1 Day,Casual,1,5.6,17.7,Direct,55,49,0,44.2
L00718,West,Gujarat,Data Science,Morning,Medium,6.5,2 Days,Semi-Formal,1,7.3,13.5,Direct,69,68,0,59.8
L00719,South,Kerala,Data Science,Evening,Long,9.1,3-5 Days,Semi-Formal,1,2.6,14.5,Direct,49,52,0,54.6
L00720,East,Bihar,Cybersecurity,Evening,Medium,5.1,Same Day,Semi-Formal,1,5.2,9.2,Direct,72,67,1,60.4
L00721,South,Andhra Pradesh,Data Science,Evening,Long,9.1,1 Day,Semi-Formal,2,3.8,5.5,Direct,54,49,0,41.1
L00722,East,West Bengal,AI & ML,Afternoon,Short,1.1,Same Day,Semi-Formal,1,6.9,15.3,Campus Ambassador,82,77,1,57.2
L00723,West,Goa,Cybersecurity,Morning,Short,2.2,Same Day,Semi-Formal,1,4.2,11.7,Campus Ambassador,88,78,1,57.5
L00724,West,Maharashtra,AI & ML,Evening,Short,1.7,1 Day,Casual,1,5.2,11.9,Direct,86,70,1,51.1
L00725,East,Bihar,Data Science,Afternoon,Short,2.4,2 Days,Semi-Formal,1,4.2,11,Direct,69,60,0,63
L00726,East,Bihar,Cloud,Evening,Long,10.1,Same Day,Casual,1,5.6,10.8,Direct,44,43,0,35.7
L00727,South,Andhra Pradesh,Cybersecurity,Evening,Short,1.9,Same Day,Semi-Formal,1,3.6,13.2,Direct,98,87,1,67.8
L00728,East,Bihar,Data Science,Morning,Short,2.9,2 Days,Semi-Formal,1,5.8,10.4,Direct,54,46,0,41.4
L00729,South,Karnataka,AI & ML,Morning,Short,2.3,1 Day,Formal,2,4.9,14.2,Direct,66,64,0,57.6
L00730,South,Karnataka,Cloud,Morning,Medium,6.6,Same Day,Formal,1,4.6,16.1,Direct,77,63,1,53.1
L00731,South,Karnataka,Cloud,Morning,Short,3,2 Days,Formal,1,6.5,11.2,Direct,72,58,1,45.8
L00732,North,Punjab,Cybersecurity,Evening,Medium,6,2 Days,Formal,1,1.7,11.1,Campus Ambassador,55,54,0,42.9
L00733,South,Karnataka,Cloud,Evening,Short,2,Same Day,Formal,1,3.9,14.6,Direct,70,67,1,57.7
L00734,West,Goa,AI & ML,Evening,Long,10.1,3-5 Days,Semi-Formal,1,4.3,15.4,Direct,88,69,1,71
L00735,North,Delhi,Cybersecurity,Morning,Medium,5.3,Same Day,Formal,1,2.7,17,Campus Ambassador,85,76,1,65.5
L00736,West,Gujarat,AI & ML,Evening,Short,1.5,1 Day,Semi-Formal,1,6.1,12.9,Campus Ambassador,75,58,1,52.5
L00737,South,Kerala,Cloud,Evening,Medium,5.3,Same Day,Formal,1,6.7,13.3,Direct,80,68,1,54.5
L00738,South,Telangana,AI & ML,Evening,Long,10.6,1 Day,Formal,1,7.4,13.2,Campus Ambassador,59,51,0,54.1
L00739,East,Bihar,Data Science,Evening,Medium,6.5,1 Day,Semi-Formal,1,5.6,16.4,Campus Ambassador,68,53,0,47.2
L00740,South,Tamil Nadu,Cybersecurity,Afternoon,Short,1.3,1 Day,Formal,1,3.2,9.6,Direct,82,71,1,68.9
L00741,North,Haryana,Data Science,Evening,Medium,6.2,Same Day,Semi-Formal,1,6.9,7,Campus Ambassador,79,66,1,47.8
L00742,North,Haryana,AI & ML,Afternoon,Long,10.3,1 Day,Semi-Formal,1,6.3,12.4,Direct,78,70,1,53.4
L00743,North,Rajasthan,Cybersecurity,Morning,Short,2.6,1 Day,Formal,1,7.9,14.2,Campus Ambassador,63,61,0,50
L00744,West,Gujarat,Data Science,Evening,Short,2.8,Same Day,Semi-Formal,1,7.2,16.3,Direct,81,66,1,43.2
L00745,East,Bihar,AI & ML,Morning,Short,2.9,1 Day,Formal,1,5,15.5,Direct,49,47,0,54.2
L00746,South,Andhra Pradesh,AI & ML,Evening,Short,2.7,2 Days,Formal,1,11.6,12.8,Direct,48,42,0,52.5
L00747,West,Maharashtra,Full Stack,Morning,Short,1,Same Day,Formal,1,5.4,8.6,Direct,84,74,1,59.4
L00748,South,Karnataka,Full Stack,Evening,Medium,6.3,1 Day,Casual,2,7.2,6.7,Campus Ambassador,58,54,0,44.5
L00749,East,Odisha,Data Science,Morning,Medium,6.8,2 Days,Semi-Formal,1,6.2,15.2,Direct,61,50,0,46.7
L00750,East,Odisha,Data Science,Evening,Short,2.9,1 Day,Semi-Formal,1,4.1,15.9,Campus Ambassador,84,67,1,61.7
L00751,South,Karnataka,Cybersecurity,Evening,Short,2.9,1 Day,Semi-Formal,3,7.6,11.5,Campus Ambassador,55,52,0,46.8
L00752,West,Gujarat,Full Stack,Evening,Medium,6.1,2 Days,Casual,1,3.4,13.7,Direct,76,66,1,48.3
L00753,West,Goa,AI & ML,Morning,Short,1.4,Same Day,Casual,1,5,18.6,Campus Ambassador,65,53,0,37.9
L00754,South,Andhra Pradesh,Data Science,Evening,Medium,6.8,2 Days,Formal,1,3.1,9.4,Direct,63,59,0,32.8
L00755,South,Karnataka,Full Stack,Evening,Long,11,1 Day,Semi-Formal,1,5.5,13.7,Direct,70,68,1,58.5
L00756,North,Punjab,Cybersecurity,Morning,Short,2,3-5 Days,Semi-Formal,1,7.2,11.6,Campus Ambassador,77,67,1,46.4
L00757,East,Odisha,Full Stack,Morning,Short,1.6,1 Day,Casual,1,6.8,8.5,Direct,71,60,1,43.1
L00758,West,Goa,Data Science,Evening,Long,9.5,3-5 Days,Formal,1,4.4,9.6,Direct,45,42,0,44.1
L00759,West,Maharashtra,Data Science,Evening,Long,10.7,Same Day,Casual,1,4.5,13.4,Direct,67,62,0,58.7
L00760,North,Punjab,Cybersecurity,Morning,Short,2.5,1 Day,Casual,1,4.4,6.7,Direct,70,66,1,59.2
L00761,East,Bihar,Data Science,Evening,Long,10.3,1 Day,Casual,1,5.7,16,Direct,89,73,1,61.9
L00762,North,Delhi,Data Science,Evening,Medium,5.3,Same Day,Semi-Formal,1,5.6,11.1,Direct,100,89,1,77.2
L00763,West,Maharashtra,AI & ML,Evening,Long,9.6,Same Day,Casual,1,4.3,16.8,Campus Ambassador,53,45,0,62.1
L00764,North,Haryana,Cybersecurity,Morning,Long,10.4,Same Day,Formal,1,4.5,12.5,Direct,95,83,1,78.4
L00765,North,Rajasthan,Full Stack,Morning,Long,9.4,2 Days,Formal,1,3.7,15.5,Direct,56,55,0,44.3
L00766,North,Rajasthan,Cybersecurity,Evening,Short,2.2,1 Day,Semi-Formal,1,7.2,14.6,Direct,77,68,1,76.3
L00767,North,Haryana,Full Stack,Afternoon,Long,9.7,1 Day,Formal,1,2.4,13,Direct,59,49,0,54.4
L00768,North,Haryana,Cybersecurity,Morning,Short,1.4,Same Day,Formal,1,5.2,8,Direct,88,78,1,75.7
L00769,North,Haryana,AI & ML,Evening,Medium,6,2 Days,Semi-Formal,1,2.6,16.9,Direct,81,66,1,50.4
L00770,East,West Bengal,Cybersecurity,Morning,Short,1.1,2 Days,Semi-Formal,1,7.7,12.9,Campus Ambassador,70,66,1,53.6
L00771,East,Jharkhand,Cloud,Morning,Medium,5.5,1 Day,Semi-Formal,1,8.8,9,Direct,76,62,1,74.4
L00772,West,Goa,Data Science,Afternoon,Short,2.1,Same Day,Formal,1,3.5,11.6,Direct,64,55,0,56.2
L00773,South,Tamil Nadu,AI & ML,Afternoon,Long,9.3,1 Day,Formal,1,7.5,12.9,Direct,88,71,1,59.4
L00774,South,Andhra Pradesh,Data Science,Morning,Short,1.7,Same Day,Semi-Formal,1,3.8,16.4,Campus Ambassador,63,59,0,51.5
L00775,South,Telangana,Full Stack,Evening,Medium,5.5,2 Days,Formal,1,5.8,9.3,Direct,57,46,0,61.5
L00776,West,Goa,AI & ML,Evening,Long,9.7,Same Day,Semi-Formal,1,5.9,10.6,Direct,66,64,0,74
L00777,East,Jharkhand,Data Science,Afternoon,Long,9.1,Same Day,Semi-Formal,1,6,15.5,Direct,79,63,1,47.2
L00778,West,Goa,Cybersecurity,Morning,Medium,6.9,Same Day,Semi-Formal,1,5.2,8.9,Direct,80,75,1,71.6
L00779,North,Rajasthan,Cloud,Evening,Medium,6.3,3-5 Days,Formal,1,5.1,14.8,Direct,69,55,0,46.2
L00780,North,Rajasthan,AI & ML,Evening,Medium,6.2,Same Day,Semi-Formal,1,6.2,12,Direct,82,65,1,52.5
L00781,North,Punjab,Data Science,Afternoon,Short,1.9,2 Days,Semi-Formal,1,2.5,12.1,Campus Ambassador,81,70,1,58.9
L00782,North,Haryana,Cloud,Afternoon,Short,1.7,1 Day,Formal,1,3.5,15.5,Direct,78,71,1,59.7
L00783,West,Goa,Full Stack,Evening,Long,10.3,Same Day,Formal,1,2.2,12.2,Direct,67,54,0,50.4
L00784,South,Kerala,Full Stack,Afternoon,Medium,5.7,Same Day,Casual,1,8.1,12.3,Direct,58,50,0,46
L00785,South,Kerala,Cybersecurity,Afternoon,Short,2.9,Same Day,Formal,1,4.8,15.8,Direct,63,49,0,45.5
L00786,West,Maharashtra,Cybersecurity,Morning,Short,2.5,1 Day,Semi-Formal,1,5.4,13.6,Direct,86,66,1,72.7
L00787,North,Uttar Pradesh,Full Stack,Evening,Short,2.2,1 Day,Formal,1,3.8,12,Campus Ambassador,58,49,0,70.7
L00788,North,Delhi,AI & ML,Morning,Long,10.4,Same Day,Formal,3,4.7,11.9,Direct,51,48,0,27.3
L00789,South,Andhra Pradesh,Cloud,Morning,Short,1.6,Same Day,Casual,1,2.8,13,Direct,68,59,0,59.3
L00790,East,Odisha,Data Science,Morning,Short,1,2 Days,Casual,1,5.8,13.4,Direct,63,50,0,34.5
L00791,North,Haryana,Cloud,Morning,Short,2.6,2 Days,Formal,1,8.2,17,Direct,72,61,1,53.4
L00792,East,West Bengal,AI & ML,Evening,Medium,5.2,2 Days,Semi-Formal,1,2,17.6,Direct,51,49,0,58.6
L00793,North,Punjab,Data Science,Afternoon,Short,1.9,1 Day,Casual,4,2.8,14,Campus Ambassador,54,48,0,56.5
L00794,East,West Bengal,Cloud,Afternoon,Short,1.7,Same Day,Casual,2,4.7,18.7,Direct,55,50,0,65.2
L00795,South,Karnataka,Data Science,Morning,Medium,6,2 Days,Formal,1,5.4,12.3,Campus Ambassador,43,37,0,39.4
L00796,West,Goa,AI & ML,Morning,Long,10,Same Day,Casual,1,4.6,14.1,Direct,64,53,0,42.5
L00797,West,Gujarat,Cybersecurity,Evening,Medium,5.4,3-5 Days,Formal,1,3.1,13,Direct,51,48,0,44.7
L00798,South,Telangana,Cybersecurity,Evening,Short,2.5,Same Day,Semi-Formal,1,4.1,15.1,Direct,96,77,1,73
L00799,West,Goa,Cloud,Afternoon,Long,10.2,Same Day,Semi-Formal,1,2.5,11.3,Direct,75,63,1,62.1
L00800,East,Bihar,Cybersecurity,Evening,Medium,6.3,1 Day,Semi-Formal,1,6.2,12.6,Direct,57,59,0,49.3
L00801,West,Goa,Data Science,Evening,Short,2.7,2 Days,Formal,1,8.5,14.2,Direct,82,65,1,63.7
L00802,North,Punjab,Full Stack,Evening,Medium,6.6,2 Days,Semi-Formal,1,7.6,12.7,Direct,77,67,1,66.4
L00803,West,Goa,Cloud,Morning,Long,9.7,2 Days,Casual,1,1.3,11.4,Campus Ambassador,47,46,0,33.5
L00804,North,Uttar Pradesh,AI & ML,Morning,Medium,6.4,2 Days,Formal,1,5.3,8.9,Direct,50,52,0,24.5
L00805,East,West Bengal,Data Science,Evening,Long,9.8,3-5 Days,Formal,1,5.9,13.1,Campus Ambassador,58,55,0,52.7
L00806,East,Bihar,Cybersecurity,Evening,Medium,5.6,1 Day,Semi-Formal,1,6,13.2,Campus Ambassador,80,70,1,59.4
L00807,North,Uttar Pradesh,Data Science,Afternoon,Medium,6.3,Same Day,Formal,1,9,14.8,Campus Ambassador,82,70,1,74.1
L00808,East,West Bengal,Cloud,Morning,Medium,5.6,2 Days,Formal,1,5.3,11.8,Direct,47,49,0,54.3
L00809,West,Goa,Data Science,Evening,Medium,6.4,2 Days,Semi-Formal,1,9.1,13,Direct,57,59,0,66.7
L00810,South,Tamil Nadu,Full Stack,Afternoon,Short,2.3,Same Day,Formal,1,6.8,16.4,Campus Ambassador,76,69,1,51.5
L00811,West,Goa,Data Science,Morning,Long,9.4,1 Day,Semi-Formal,1,2.9,11.9,Campus Ambassador,69,54,0,56.6
L00812,South,Tamil Nadu,Cloud,Afternoon,Medium,6,2 Days,Semi-Formal,1,4.5,12.8,Direct,62,62,0,34.5
L00813,North,Uttar Pradesh,Cloud,Evening,Medium,6.9,3-5 Days,Casual,1,7.7,15.4,Direct,51,43,0,34.5
L00814,North,Haryana,Cloud,Evening,Long,10,Same Day,Casual,1,4.1,9.3,Direct,58,54,0,55.6
L00815,North,Rajasthan,Full Stack,Morning,Short,1,1 Day,Formal,1,6.1,11.7,Direct,54,47,0,46.1
L00816,South,Andhra Pradesh,AI & ML,Afternoon,Medium,5.6,Same Day,Semi-Formal,1,4,11.9,Direct,75,70,1,65.9
L00817,North,Haryana,Cybersecurity,Evening,Short,3,1 Day,Semi-Formal,1,6.3,12.9,Direct,64,56,0,39.5
L00818,East,Jharkhand,Full Stack,Evening,Medium,5.3,1 Day,Casual,1,5.2,10.2,Direct,60,51,0,36.5
L00819,North,Haryana,AI & ML,Afternoon,Medium,5.9,2 Days,Semi-Formal,1,5,12.7,Direct,73,59,1,65.9
L00820,North,Uttar Pradesh,Cybersecurity,Morning,Long,9.2,2 Days,Formal,1,9.1,14.2,Direct,66,56,0,71.6
L00821,North,Delhi,Cloud,Morning,Short,2,Same Day,Semi-Formal,1,6.7,14.1,Direct,76,72,1,63.6
L00822,South,Tamil Nadu,Data Science,Evening,Medium,5.3,2 Days,Formal,1,9.1,8,Direct,50,41,0,38.6
L00823,North,Punjab,Data Science,Evening,Short,1.9,3-5 Days,Formal,1,4.1,12.6,Direct,93,84,1,77.4
L00824,North,Haryana,Data Science,Afternoon,Medium,5,1 Day,Semi-Formal,1,2.2,8.7,Direct,63,58,0,52.9
L00825,North,Haryana,Full Stack,Afternoon,Medium,6.4,1 Day,Formal,1,3.7,11.4,Direct,60,56,0,48.6
L00826,West,Maharashtra,Cybersecurity,Afternoon,Long,9.2,1 Day,Casual,1,3,14.1,Direct,63,51,0,64.8
L00827,East,Odisha,Data Science,Afternoon,Long,10.9,Same Day,Semi-Formal,1,4.1,8.5,Direct,64,65,0,59.8
L00828,South,Karnataka,AI & ML,Afternoon,Short,2.8,Same Day,Semi-Formal,1,5.8,12.8,Direct,60,56,0,50
L00829,North,Uttar Pradesh,Data Science,Afternoon,Medium,5.8,Same Day,Casual,1,6.2,11.6,Direct,59,55,0,46.7
L00830,East,Odisha,AI & ML,Morning,Long,9.9,1 Day,Semi-Formal,1,5.1,12,Direct,46,38,0,29.4
L00831,West,Gujarat,AI & ML,Evening,Short,2.6,Same Day,Semi-Formal,1,2.4,13.5,Direct,96,84,1,59
L00832,West,Goa,Cloud,Evening,Short,2.5,Same Day,Semi-Formal,1,6.1,13.2,Direct,89,79,1,74.8
L00833,East,Bihar,Full Stack,Evening,Medium,6.4,Same Day,Casual,1,2.2,9.2,Direct,70,57,1,38.6
L00834,North,Delhi,AI & ML,Afternoon,Short,1.6,1 Day,Semi-Formal,1,4.6,11.7,Campus Ambassador,95,78,1,64.9
L00835,West,Gujarat,Data Science,Evening,Short,2.3,1 Day,Semi-Formal,1,6.4,12,Direct,74,59,1,41.1
L00836,West,Gujarat,Data Science,Morning,Long,9.5,1 Day,Casual,1,5.3,12.9,Campus Ambassador,65,60,0,50.8
L00837,West,Gujarat,AI & ML,Evening,Long,10.3,2 Days,Semi-Formal,1,4.2,10.3,Campus Ambassador,56,55,0,50
L00838,East,Odisha,Cybersecurity,Morning,Long,9,1 Day,Casual,1,5.3,11.2,Direct,50,54,0,49.1
L00839,East,Bihar,Full Stack,Evening,Short,1.4,1 Day,Casual,1,7.9,11.9,Direct,74,63,1,63.3
L00840,North,Haryana,Cybersecurity,Morning,Long,10.8,2 Days,Formal,1,5,14.7,Direct,37,34,0,53.7
L00841,North,Delhi,AI & ML,Morning,Long,10.7,Same Day,Formal,1,3,14.8,Campus Ambassador,63,57,0,50.2
L00842,North,Punjab,Full Stack,Evening,Long,10.3,Same Day,Semi-Formal,1,3.8,9.2,Direct,68,56,0,54.3
L00843,East,Odisha,Full Stack,Morning,Long,9.3,Same Day,Semi-Formal,1,3.1,13.4,Direct,79,73,1,64.1
L00844,West,Goa,Full Stack,Afternoon,Long,10,1 Day,Semi-Formal,1,6.3,14.5,Campus Ambassador,86,71,1,75.5
L00845,West,Goa,AI & ML,Afternoon,Long,9.4,1 Day,Formal,1,6.3,15.3,Direct,37,32,0,39.6
L00846,South,Andhra Pradesh,Cloud,Afternoon,Short,1.2,2 Days,Casual,1,4.4,12.1,Campus Ambassador,49,52,0,43.9
L00847,West,Goa,AI & ML,Afternoon,Short,1.5,3-5 Days,Casual,1,6.2,14.8,Direct,79,74,1,50.6
L00848,North,Uttar Pradesh,Cloud,Morning,Short,1.4,Same Day,Formal,1,4.5,9.6,Campus Ambassador,81,66,1,55
L00849,West,Maharashtra,Data Science,Afternoon,Medium,5.4,1 Day,Casual,1,2.7,13.2,Campus Ambassador,74,58,1,57.1
L00850,North,Uttar Pradesh,Data Science,Morning,Medium,6.3,2 Days,Semi-Formal,1,3.8,8.5,Direct,80,71,1,64
L00851,East,West Bengal,Full Stack,Evening,Medium,6.9,3-5 Days,Formal,1,4.9,11.7,Direct,46,37,0,35.1
L00852,North,Uttar Pradesh,Cybersecurity,Evening,Short,1.9,Same Day,Casual,1,2.5,15.4,Direct,54,43,0,42.9
L00853,West,Goa,Cybersecurity,Afternoon,Long,10,Same Day,Semi-Formal,1,6.8,9.6,Direct,65,61,0,41.5
L00854,West,Goa,Full Stack,Morning,Medium,6.6,Same Day,Casual,1,5.3,10.4,Campus Ambassador,75,62,1,45.3
L00855,North,Uttar Pradesh,Cybersecurity,Morning,Long,9.1,1 Day,Semi-Formal,1,3.3,14,Direct,87,76,1,55.3
L00856,South,Andhra Pradesh,Cloud,Evening,Long,9.9,2 Days,Formal,1,5.4,17.3,Campus Ambassador,47,52,0,41.1
L00857,West,Goa,AI & ML,Evening,Long,9.5,2 Days,Semi-Formal,1,4.4,12.7,Campus Ambassador,49,39,0,55.2
L00858,North,Haryana,Cybersecurity,Afternoon,Short,2,Same Day,Formal,1,4.5,15.3,Campus Ambassador,67,62,0,48.6
L00859,East,Odisha,Cybersecurity,Morning,Long,10.1,Same Day,Semi-Formal,1,7.8,11.7,Direct,62,58,0,57.6
L00860,East,West Bengal,AI & ML,Afternoon,Medium,6.5,2 Days,Formal,1,4.6,14.1,Direct,57,52,0,39.9
L00861,West,Goa,Data Science,Evening,Long,9.5,Same Day,Semi-Formal,1,3.5,13.3,Direct,61,63,0,69.1
L00862,East,West Bengal,Full Stack,Evening,Long,10.2,1 Day,Semi-Formal,3,4.6,17.4,Direct,64,59,0,51.9
L00863,East,West Bengal,AI & ML,Afternoon,Medium,6.5,1 Day,Casual,1,8.5,13.1,Campus Ambassador,50,46,0,41.1
L00864,West,Maharashtra,Cybersecurity,Evening,Short,1.3,Same Day,Casual,1,4.9,10.4,Campus Ambassador,73,59,1,56.6
L00865,East,Jharkhand,Cybersecurity,Afternoon,Medium,5.6,3-5 Days,Semi-Formal,1,5.7,14.2,Campus Ambassador,44,44,0,40.2
L00866,North,Delhi,Cybersecurity,Afternoon,Short,2.9,1 Day,Formal,1,5.6,14,Direct,56,53,0,45.3
L00867,West,Gujarat,Data Science,Evening,Long,9.6,Same Day,Semi-Formal,1,5.8,6.7,Direct,74,64,1,44.1
L00868,South,Andhra Pradesh,Full Stack,Morning,Short,1.7,1 Day,Semi-Formal,1,7.1,15.2,Direct,83,76,1,59.5
L00869,South,Andhra Pradesh,Cloud,Morning,Long,9.2,1 Day,Formal,1,1.6,14.6,Direct,52,43,0,37
L00870,South,Tamil Nadu,Data Science,Morning,Medium,5.6,1 Day,Casual,1,5.5,12.6,Campus Ambassador,75,66,1,55.7
L00871,East,West Bengal,Cybersecurity,Afternoon,Short,1.5,Same Day,Formal,1,5.7,7.5,Direct,73,58,1,58.3
L00872,West,Goa,Cybersecurity,Afternoon,Long,9.6,Same Day,Formal,2,2.8,14.2,Direct,62,62,0,45.3
L00873,North,Uttar Pradesh,Cybersecurity,Evening,Medium,6.9,Same Day,Semi-Formal,1,5.8,9.6,Direct,71,56,1,75.3
L00874,West,Goa,Data Science,Afternoon,Short,1.3,1 Day,Formal,1,5.9,19.5,Direct,68,59,0,40.6
L00875,East,Jharkhand,Cybersecurity,Afternoon,Long,9.2,Same Day,Semi-Formal,1,3.4,12.4,Direct,64,57,0,41.2
L00876,West,Gujarat,AI & ML,Afternoon,Short,1.2,2 Days,Semi-Formal,1,9.6,11.1,Campus Ambassador,75,69,1,59.1
L00877,East,Jharkhand,Cloud,Morning,Long,10.3,2 Days,Formal,1,5.2,11.2,Direct,34,31,0,38.5
